iter	RMSE
0	7208.1253
1	6856.460745
2	6524.390679
3	6227.205836
4	5952.351062
5	5677.833705
6	5409.764387
7	5155.921161
8	4917.315658
9	4693.24832
10	4482.878555
11	4292.464225
12	4106.096363
13	3940.040918
14	3768.333039
15	3608.625898
16	3460.284795
17	3324.463203
18	3193.128155
19	3067.787937
20	2955.947405
21	2846.158315
22	2744.929021
23	2654.470616
24	2565.807968
25	2476.483182
26	2400.48146
27	2327.027942
28	2255.262761
29	2192.258979
30	2133.539615
31	2074.892095
32	2019.616975
33	1974.566359
34	1932.829708
35	1894.708803
36	1853.885534
37	1818.160218
38	1779.72678
39	1746.504286
40	1715.688619
41	1686.274027
42	1661.007734
43	1634.950738
44	1612.069339
45	1593.541199
46	1576.330906
47	1558.24553
48	1541.533282
49	1523.225237
50	1509.5441
51	1496.005586
52	1478.449386
53	1464.424413
54	1450.886351
55	1434.423601
56	1423.775838
57	1416.893148
58	1406.253901
59	1398.297034
60	1391.358021
61	1380.121989
62	1368.954424
63	1362.110305
64	1350.49874
65	1347.132746
66	1338.688201
67	1332.596538
68	1324.86721
69	1316.053564
70	1307.094175
71	1296.733741
72	1290.984006
73	1285.032042
74	1276.177895
75	1268.332942
76	1265.00655
77	1255.689611
78	1251.820638
79	1246.502392
80	1236.841186
81	1230.227776
82	1227.257258
83	1222.903975
84	1219.049761
85	1214.54162
86	1209.615946
87	1206.192022
88	1200.145184
89	1195.898749
90	1194.869827
91	1190.359027
92	1186.009629
93	1179.924262
94	1176.67556
95	1174.70617
96	1171.682371
97	1168.20113
98	1165.079127
99	1163.852105
100	1160.997893
101	1157.644862
102	1154.34239
103	1151.892372
104	1149.294709
105	1146.18779
106	1144.24362
107	1142.101759
108	1140.80693
109	1139.117209
110	1133.347853
111	1128.504743
112	1126.392797
113	1122.66132
114	1120.594513
115	1118.8798
116	1116.204211
117	1113.956762
118	1110.525928
119	1107.841052
120	1104.845519
121	1101.507387
122	1095.621209
123	1093.932059
124	1092.242978
125	1089.920026
126	1087.80198
127	1085.220827
128	1083.068573
129	1082.406419
130	1079.344636
131	1076.236964
132	1075.167558
133	1072.247633
134	1070.996983
135	1069.146736
136	1067.543551
137	1065.437077
138	1061.255154
139	1058.390226
140	1054.825768
141	1051.502436
142	1050.211704
143	1046.674841
144	1043.979325
145	1043.173772
146	1042.479685
147	1040.226858
148	1037.041909
149	1033.734461
150	1030.748668
151	1027.335059
152	1024.781031
153	1022.203114
154	1020.344695
155	1019.857945
156	1019.248928
157	1017.568036
158	1015.395811
159	1013.455828
160	1011.252311
161	1008.224802
162	1006.57208
163	1003.455651
164	1001.063237
165	999.6644977
166	999.1017389
167	997.0168752
168	996.421893
169	994.0587105
170	993.3425734
171	992.6317674
172	991.7476398
173	991.2383013
174	990.6981777
175	990.213344
176	989.7546573
177	989.1072854
178	988.5367496
179	987.6526536
180	987.2378756
181	986.4343821
182	985.9415454
183	985.4374355
184	985.039599
185	983.8439191
186	983.311747
187	982.604503
188	981.8396087
189	981.1410182
190	980.4322286
191	979.7416251
192	979.0975498
193	978.2082669
194	977.5786069
195	976.9781928
196	976.689668
197	976.1074174
198	975.5640653
199	975.043875
200	972.9829737
201	972.4880314
202	972.1269225
203	971.7529856
204	971.4103199
205	970.9753759
206	970.5574241
207	970.128292
208	969.704583
209	969.3101345
210	967.4018982
211	967.0422986
212	966.6801196
213	966.3470828
214	966.0262087
215	965.7169579
216	964.6221389
217	963.6172842
218	963.3248784
219	963.0429935
220	962.1581265
221	961.8886983
222	959.4750704
223	958.6557083
224	958.0436451
225	957.2605692
226	956.8753449
227	953.6469005
228	953.3993752
229	952.7067199
230	949.9104898
231	949.6679933
232	947.4200053
233	944.8639769
234	942.757388
235	942.1439708
236	939.9206379
237	939.6880297
238	939.3188657
239	938.7551155
240	938.1656731
241	936.0826828
242	935.5561426
243	933.7519665
244	931.4450467
245	931.2157534
246	929.6514291
247	929.4299597
248	928.9305337
249	927.0319797
250	924.9080786
251	924.0038789
252	923.8828097
253	922.3410843
254	922.2260648
255	919.1251938
256	917.5738557
257	917.0776412
258	916.2359722
259	915.7709014
260	915.3755188
261	915.0798476
262	913.9095254
263	913.1109044
264	910.4709381
265	910.2716557
266	910.0711741
267	909.6416563
268	908.8848134
269	908.6961903
270	908.5080692
271	906.416544
272	904.3664478
273	903.5465938
274	902.8213115
275	900.0890168
276	899.6849033
277	898.1244178
278	897.436748
279	897.2560466
280	897.0822418
281	896.9331877
282	896.2758
283	893.9268878
284	892.731783
285	892.0227849
286	891.5937372
287	890.5002517
288	890.2991106
289	890.055109
290	889.8244356
291	888.9310503
292	888.7123604
293	888.0775758
294	887.5027462
295	886.8928861
296	884.1371408
297	883.9789598
298	882.6625894
299	881.8904696
300	881.7696055
301	879.1192516
302	878.5656593
303	878.4160634
304	877.7942074
305	877.6564425
306	875.7578787
307	874.1533398
308	873.1255362
309	871.2175794
310	869.1120943
311	868.4250101
312	867.7513905
313	867.133785
314	866.5467294
315	865.8549555
316	865.4643909
317	865.0986867
318	864.964022
319	864.4110065
320	863.2796521
321	862.7731707
322	861.8242412
323	860.9317435
324	858.6359598
325	858.0745645
326	857.571194
327	855.4556445
328	854.9186208
329	854.5929703
330	854.1970938
331	853.6099194
332	852.3453904
333	850.8414398
334	850.3666367
335	848.7153305
336	847.3495825
337	846.1733571
338	844.425587
339	843.9724235
340	843.2102283
341	842.3280881
342	840.6973221
343	839.2348103
344	838.0106866
345	837.5817184
346	836.5577056
347	834.655137
348	833.8630923
349	833.1328442
350	832.2364208
351	831.5585314
352	831.0876657
353	829.2599287
354	828.7884018
355	827.7649059
356	827.173862
357	825.8213085
358	825.4026306
359	824.3633976
360	822.7975746
361	821.6225559
362	821.2065338
363	820.0482446
364	817.5237199
365	817.0321903
366	815.6237977
367	815.1939733
368	814.831215
369	814.1285961
370	811.794299
371	810.7343791
372	810.3218844
373	809.376751
374	807.5805155
375	806.3674299
376	805.5022015
377	805.1102933
378	804.2277781
379	803.829236
380	803.4471632
381	802.3976866
382	800.9994277
383	800.1538035
384	799.1485421
385	798.5866401
386	798.0144474
387	796.5495561
388	795.5724808
389	794.9470999
390	794.5054731
391	793.8477693
392	792.9396274
393	792.5439662
394	791.7616861
395	790.480904
396	788.275201
397	787.4699325
398	787.134604
399	785.0567347
400	784.2010463
401	782.092677
402	781.7326126
403	781.4171034
404	780.3191642
405	779.5195731
406	778.717092
407	778.3441707
408	776.238049
409	775.8882935
410	775.5340687
