iter	Passed	Remaining
0	140	140680
1	141	70839
2	143	47558
3	144	35934
4	145	29013
5	147	24370
6	148	21037
7	149	18552
8	150	16614
9	152	15052
10	153	13781
11	154	12710
12	155	11823
13	156	11052
14	158	10379
15	159	9785
16	160	9276
17	161	8814
18	162	8399
19	163	8027
20	164	7668
21	165	7366
22	166	7090
23	168	6836
24	169	6611
25	170	6397
26	172	6203
27	173	6015
28	174	5839
29	175	5676
30	176	5524
31	177	5384
32	179	5248
33	180	5121
34	181	5002
35	182	4892
36	184	4791
37	185	4688
38	186	4590
39	187	4497
40	188	4410
41	189	4329
42	190	4250
43	192	4174
44	193	4100
45	194	4032
46	195	3964
47	196	3899
48	197	3841
49	199	3793
50	201	3741
51	202	3689
52	203	3638
53	205	3593
54	206	3551
55	208	3510
56	209	3465
57	210	3424
58	212	3384
59	213	3347
60	214	3307
61	216	3268
62	217	3234
63	218	3198
64	219	3164
65	221	3127
66	222	3093
67	223	3067
68	225	3038
69	226	3008
70	227	2977
71	228	2949
72	230	2921
73	231	2893
74	232	2866
75	233	2839
76	234	2813
77	235	2787
78	236	2762
79	238	2738
80	239	2715
81	240	2692
82	241	2671
83	242	2649
84	244	2629
85	245	2608
86	246	2588
87	247	2567
88	248	2547
89	250	2528
90	251	2509
91	252	2493
92	253	2474
93	254	2455
94	255	2436
95	257	2421
96	258	2405
97	259	2388
98	260	2372
99	261	2356
100	263	2341
101	264	2325
102	265	2310
103	266	2294
104	267	2278
105	268	2264
106	269	2249
107	270	2237
108	272	2224
109	273	2210
110	274	2198
111	275	2186
112	276	2173
113	278	2160
114	279	2147
115	280	2136
116	281	2126
117	282	2114
118	284	2102
119	285	2091
120	286	2081
121	287	2070
122	288	2059
123	290	2049
124	291	2038
125	292	2027
126	293	2017
127	294	2007
128	295	1997
129	297	1987
130	298	1978
131	299	1969
132	300	1959
133	301	1949
134	302	1941
135	304	1932
136	305	1924
137	306	1915
138	307	1907
139	309	1899
140	310	1891
141	311	1883
142	312	1874
143	313	1865
144	315	1857
145	316	1850
146	317	1842
147	318	1834
148	319	1827
149	321	1820
150	322	1813
151	323	1805
152	324	1798
153	325	1790
154	327	1783
155	328	1775
156	329	1768
157	330	1761
158	331	1753
159	332	1747
160	333	1740
161	335	1733
162	336	1727
163	337	1720
164	338	1715
165	340	1708
166	341	1701
167	342	1694
168	343	1688
169	344	1683
170	345	1676
171	346	1670
172	348	1664
173	349	1658
174	350	1652
175	351	1646
176	352	1640
177	353	1633
178	354	1628
179	356	1622
180	357	1616
181	358	1611
182	359	1605
183	360	1599
184	361	1593
185	362	1588
186	363	1582
187	365	1577
188	366	1571
189	367	1566
190	368	1561
191	369	1555
192	371	1551
193	372	1547
194	373	1542
195	374	1537
